gold_answers_json,prediction,exact_match,f1,correct_em,token_confidences_json,generated_token_ids_json,seq_conf_mean,seq_conf_min,seq_conf_logmean,generated_length
"[""Town Moor""]",London,0,0.0,0,"[0.19690340757369995, 0.9964608550071716, 0.9859375357627869, 0.2088555246591568, 0.223584845662117, 0.1957646608352661, 0.18649213016033173, 0.1925908327102661, 0.19286158680915833, 0.1946677714586258]","[1524, 1, 1, 21225, 21225, 21225, 1524, 1524, 1524, 1524]",0.35741191506385805,0.18649213016033173,-1.2946465628969386,10
"[""Hampstead Heath""]",Hyde Park,0,0.0,0,"[0.5901715755462646, 0.999756395816803, 0.9349602460861206, 0.9997877478599548, 0.9886996150016785, 0.23440197110176086, 0.20692743360996246, 0.273301899433136, 0.31406375765800476, 0.3485042154788971]","[5555, 221, 1061, 1, 1, 5845, 5555, 5555, 5555, 5555]",0.5890574857592583,0.20692743360996246,-0.7141961248819597,10
"[""Club""]",Newcastle United,0,0.0,0,"[0.6807156205177307, 0.9715999960899353, 0.6845271587371826, 0.8794103860855103, 0.444136381149292, 0.3248080313205719, 0.31216931343078613, 0.2998596727848053, 0.3586069941520691, 0.4113152325153351]","[21225, 907, 1, 1, 907, 907, 907, 21225, 21225, 21225]",0.5367148786783218,0.2998596727848053,-0.7139670671697477,10
"[""Newcastle""]",Newcastle,1,1.0,1,"[0.7619655132293701, 0.9922467470169067, 0.9762646555900574, 0.46112972497940063, 0.6300889253616333, 0.6857264041900635, 0.7172485589981079, 0.7342031002044678, 0.7372078895568848, 0.7398112416267395]","[21225, 1, 1, 21225, 21225, 21225, 21225, 21225, 21225, 21225]",0.7435892760753632,0.46112972497940063,-0.31644537412157786,10
"[""green space""]",Hyde Park,0,0.0,0,"[0.9043661952018738, 0.9998594522476196, 0.9960108995437622, 0.9962590932846069, 0.9933367967605591, 0.25284233689308167, 0.2460404634475708, 0.2846333384513855, 0.30626800656318665, 0.3052486777305603]","[5555, 221, 1061, 1, 1, 7862, 339, 339, 339, 339]",0.6284865260124206,0.2460404634475708,-0.6518817084375135,10
"[""Newcastle""]",Newcastle,1,1.0,1,"[0.8296413421630859, 0.9833720326423645, 0.9812330007553101, 0.5666354894638062, 0.7672089338302612, 0.7922793030738831, 0.8079253435134888, 0.8175759315490723, 0.8190814852714539, 0.8199962973594666]","[21225, 1, 1, 21225, 21225, 21225, 21225, 21225, 21225, 21225]",0.8184949159622192,0.5666354894638062,-0.2101075629715206,10
"[""cattle""]",Green space,0,0.0,0,"[0.3642391562461853, 0.400900661945343, 0.9971393346786499, 0.9977847933769226, 0.1673586368560791, 0.3308994174003601, 0.37664395570755005, 0.37653931975364685, 0.35804587602615356, 0.3447914123535156]","[1862, 628, 1, 1, 5555, 5555, 5555, 5555, 5555, 5555]",0.4714342564344406,0.1673586368560791,-0.8867723265855719,10
"[""the Royal Shakespeare Company""]",Bob Geldof,0,0.0,0,"[0.5588173866271973, 0.999853253364563, 0.9999793767929077, 0.812642514705658, 0.9829736948013306, 0.2689383029937744, 0.27517062425613403, 0.18797217309474945, 0.21951924264431, 0.22831383347511292]","[5762, 6213, 858, 1, 1, 12453, 12453, 14448, 14448, 14448]",0.5534180402755737,0.18797217309474945,-0.8075184880845059,10
"[""Stagecoach North East""]",Tyne and Wear,0,0.0,0,"[0.31259629130363464, 0.9874384999275208, 0.9997530579566956, 0.6796583533287048, 0.9996896982192993, 0.9938445091247559, 0.35389649868011475, 0.35568228363990784, 0.17167146503925323, 0.1431201547384262]","[10352, 29, 15, 11, 16883, 1, 1, 3424, 3424, 5703]",0.5997350811958313,0.1431201547384262,-0.734709232072796,10
"[""Stagecoach""]",Haymarket,0,0.0,0,"[0.3206697106361389, 0.9949479103088379, 0.9547592997550964, 0.991124153137207, 0.09618958830833435, 0.09399949014186859, 0.09935779124498367, 0.12226182967424393, 0.14064042270183563, 0.16351407766342163]","[8567, 8809, 1, 1, 21225, 21225, 10352, 8567, 8567, 8567]",0.3977464273571968,0.09399949014186859,-1.4086543390697928,10
