gold_answers_json,prediction,exact_match,f1,correct_em,token_confidences_json,generated_token_ids_json,seq_conf_mean,seq_conf_min,seq_conf_logmean,generated_length
"[""Town Moor""]",here,0,0.0,0,"[0.2190876603126526, 0.7341840267181396, 0.8348290920257568, 0.18650488555431366, 0.1342085897922516, 0.17416371405124664, 0.18904948234558105, 0.19732560217380524, 0.19936199486255646, 0.20316082239151, 0.20536445081233978, 0.20787394046783447, 0.2095378041267395, 0.21016110479831696, 0.21066424250602722, 0.21144507825374603, 0.21193090081214905, 0.2131870836019516, 0.2133188545703888]","[270, 1, 1, 10943, 270, 270, 270, 270, 270, 270, 270, 270, 270, 270, 270, 270, 270, 270, 270]",0.2613347015882793,0.1342085897922516,-1.4720059589103993,19
"[""Hampstead Heath""]",Hampstead Heath,1,1.0,1,"[0.3112948536872864, 0.99974125623703, 0.9999997615814209, 0.9999032020568848, 0.9986962676048279, 0.993224561214447, 0.9546845555305481, 0.1706181764602661, 0.24353426694869995, 0.2690102756023407, 0.2730312645435333, 0.2696988582611084, 0.26542243361473083, 0.26270636916160583, 0.2591424286365509, 0.2554864287376404, 0.25247305631637573, 0.24878203868865967, 0.2455923706293106]","[5845, 102, 11931, 7862, 107, 1, 1, 472, 5555, 5555, 5555, 5555, 5555, 5555, 5555, 5555, 5555, 5555, 5555]",0.4880548645006983,0.1706181764602661,-0.9407432642578615,19
"[""Club""]",Newcastle United Football Club,0,0.4,0,"[0.658513069152832, 0.9777694940567017, 0.8881092071533203, 0.977601945400238, 0.9753348231315613, 0.9798192381858826, 0.14011095464229584, 0.21012675762176514, 0.269209086894989, 0.33424729108810425, 0.3850679397583008, 0.42974570393562317, 0.4635898470878601, 0.48855143785476685, 0.5083669424057007, 0.5253894329071045, 0.5385701060295105, 0.553982675075531, 0.5629437565803528]","[21225, 907, 10929, 1949, 1, 1, 907, 21225, 21225, 21225, 21225, 21225, 21225, 21225, 21225, 21225, 21225, 21225, 21225]",0.5719499846822337,0.14011095464229584,-0.6815051684538461,19
"[""Newcastle""]",north of the city centre,0,0.0,0,"[0.43410390615463257, 0.8857393264770508, 0.9918031096458435, 0.999440610408783, 0.9980629086494446, 0.9984388947486877, 0.9957767128944397, 0.09037423133850098, 0.17879071831703186, 0.26055705547332764, 0.30547845363616943, 0.3358372151851654, 0.3558191657066345, 0.36962753534317017, 0.3803492784500122, 0.3885859549045563, 0.3946990966796875, 0.40168297290802, 0.4042738080024719]","[3457, 13, 8, 690, 2050, 1, 1, 21225, 3457, 3457, 3457, 3457, 3457, 3457, 3457, 3457, 3457, 3457, 3457]",0.5352337344696647,0.09037423133850098,-0.8109203232509408,19
"[""green space""]",the freemen,0,0.0,0,"[0.32518765330314636, 0.7944949865341187, 0.9976563453674316, 0.5600016713142395, 0.8339259624481201, 0.16997772455215454, 0.2062571495771408, 0.2224137783050537, 0.23405620455741882, 0.24913518130779266, 0.261464387178421, 0.27121701836586, 0.28073975443840027, 0.287447452545166, 0.29266655445098877, 0.29603347182273865, 0.29871609807014465, 0.3013201951980591, 0.3047865033149719]","[8, 339, 904, 1, 1, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8]",0.3782893732974404,0.16997772455215454,-1.1062310411999392,19
"[""Newcastle""]",north of the city centre,0,0.0,0,"[0.2835123538970947, 0.9386103749275208, 0.9954944849014282, 0.9980389475822449, 0.9909347891807556, 0.9981865286827087, 0.9887183904647827, 0.13242706656455994, 0.13130594789981842, 0.14973720908164978, 0.1758609116077423, 0.19510430097579956, 0.20805799961090088, 0.21762441098690033, 0.22511924803256989, 0.2315010130405426, 0.23639555275440216, 0.2420472949743271, 0.24506719410419464]","[3457, 13, 8, 690, 2050, 1, 1, 1524, 1524, 3457, 3457, 3457, 3457, 3457, 3457, 3457, 3457, 3457, 3457]",0.45177600101420756,0.13130594789981842,-1.104843054822666,19
"[""cattle""]",cattle,1,1.0,1,"[0.25931814312934875, 0.7513588070869446, 0.8948695063591003, 0.30126041173934937, 0.30114462971687317, 0.28210461139678955, 0.26171961426734924, 0.24297423660755157, 0.24158160388469696, 0.24497659504413605, 0.24678677320480347, 0.245088130235672, 0.24352295696735382, 0.24257823824882507, 0.24209515750408173, 0.24072737991809845, 0.23974917829036713, 0.2363595962524414, 0.23592805862426758]","[17941, 1, 1, 1862, 1862, 1862, 1862, 1862, 1442, 1442, 1442, 1442, 1442, 1442, 1442, 1442, 1442, 1442, 1442]",0.3133759804462132,0.23592805862426758,-1.2519022114282063,19
"[""the Royal Shakespeare Company""]","King Harald V of Norway, Bobby Robson, Alan Shearer, the late",0,0.0,0,"[0.7591122388839722, 0.9998856782913208, 0.9999299049377441, 0.9999772310256958, 0.9996156692504883, 0.9765992760658264, 0.9987241625785828, 0.9324203133583069, 0.9994157552719116, 0.9999697208404541, 0.9999866485595703, 0.9394955039024353, 0.9999324083328247, 0.9998651742935181, 0.9999387264251709, 0.9998894929885864, 0.5710235238075256, 0.9880306124687195, 0.9999240636825562]","[2671, 3504, 138, 26, 584, 13, 16491, 6, 21395, 5376, 739, 6, 12453, 451, 291, 49, 6, 8, 1480]",0.9559861107876426,0.5710235238075256,-0.05299901370306371,19
"[""Stagecoach North East""]",Nexus,0,0.0,0,"[0.25406530499458313, 0.9999935626983643, 0.9812487363815308, 0.9950960278511047, 0.20021504163742065, 0.11770791560411453, 0.10027256608009338, 0.09374390542507172, 0.09066630899906158, 0.08960571885108948, 0.09026011824607849, 0.09118380397558212, 0.09230443835258484, 0.0934416875243187, 0.09509854018688202, 0.10358970612287521, 0.11071605235338211, 0.12191282957792282, 0.12821896374225616]","[20024, 302, 1, 1, 10352, 10352, 10352, 10352, 10352, 10352, 10352, 10352, 10352, 10352, 20024, 20024, 20024, 20024, 20024]",0.2552284857160167,0.08960571885108948,-1.8502270476993559,19
"[""Stagecoach""]",Eldon Square,0,0.0,0,"[0.584145188331604, 0.9997701048851013, 0.9916208982467651, 0.8127850890159607, 0.9898064732551575, 0.1316809356212616, 0.2637576162815094, 0.3219354748725891, 0.3492167294025421, 0.3748975694179535, 0.39553555846214294, 0.415954053401947, 0.4317317306995392, 0.44397154450416565, 0.45434850454330444, 0.4644441306591034, 0.4729261100292206, 0.48376521468162537, 0.4906664788722992]","[1289, 2029, 7120, 1, 1, 1289, 1289, 1289, 1289, 1289, 1289, 1289, 1289, 1289, 1289, 1289, 1289, 1289, 1289]",0.5196294423780943,0.1316809356212616,-0.7626241873669447,19
"[""Haymarket""]",Haymarket,1,1.0,1,"[0.4096355736255646, 0.9973209500312805, 0.9988553524017334, 0.9993234872817993, 0.19441300630569458, 0.3277081251144409, 0.34106072783470154, 0.34361785650253296, 0.3338809907436371, 0.33418944478034973, 0.3371519148349762, 0.34231650829315186, 0.3465771973133087, 0.34929490089416504, 0.35133033990859985, 0.35481515526771545, 0.3572772443294525, 0.3620304465293884, 0.36367669701576233]","[8567, 8809, 1, 1, 21225, 8567, 8567, 8567, 8567, 8567, 8567, 8567, 8567, 8567, 8567, 8567, 8567, 8567, 8567]",0.44444610100043447,0.19441300630569458,-0.9156320346508607,19
